,Lagrangian mass,Radius,Density,Temperature,Pressure,Luminosity,E generation rate,Opacity,Adiabatic temperature gradient,Actual temperature gradient,Energy transport
42,1.5071917542372556e+31,15208184876.97139,1.5053358732128497,6322088.821357121,1290149074492918.8,4.621793277570823e+30,0.007733297476609102,1.267969582290455,0.4,0.4,c
43,1.5233452702128694e+31,15316320067.344627,1.5095033772932136,6304337.805885891,1290043495967713.2,4.695589351260305e+30,0.007637798519366941,1.2710802818004838,0.4,0.4,c
44,1.5396719135146244e+31,15425318977.222029,1.5136921184508574,6286588.923891681,1289936785891469.0,4.7682076266087974e+30,0.007543099619866047,1.2743408317736151,0.4,0.4,c
45,1.556173539656249e+31,15535175327.713802,1.5179019894099477,6268843.2842284795,1289828932136646.5,4.8396705348642906e+30,0.007449203645900391,1.2776153386456437,0.4,0.4,c
46,1.5728520240382087e+31,15645883474.627863,1.5221326327636466,6251102.993316982,1289719922445727.5,4.9099996321126064e+30,0.007356118433678015,1.2809035028787892,0.4,0.4,c
47,1.5897092621608092e+31,15757438387.266638,1.5263836787331633,6233370.16780751,1289609744429822.2,4.9792157183115355e+30,0.007263851490672935,1.2842050364500277,0.4,0.4,c
48,1.6067471698395779e+31,15869835611.353651,1.5306547455292376,6215646.932000423,1289498385567262.5,5.047338899524426e+30,0.007172409983880346,1.287519661962388,0.4,0.4,c
49,1.6239676834230739e+31,15983071234.669489,1.534945439723853,6197935.415300489,1289385833202175.5,5.114388643708289e+30,0.00708180072908136,1.2908471118312705,0.4,0.4,c
50,1.6413727600129009e+31,16097141855.156199,1.5392553566283962,6180237.749721796,1289272074543049.8,5.180383830778572e+30,0.006992030181178792,1.2941871275385843,0.4,0.4,c
51,1.658964377686157e+31,16212044551.275566,1.543584080675182,6162556.0674561085,1289157096661277.5,5.245342797581397e+30,0.006903104425640958,1.2975394589483444,0.4,0.4,c
52,1.6767445357201885e+31,16327776854.42966,1.5479311857998799,6144892.498514626,1289040886489687.8,5.309283378325997e+30,0.00681502917107054,1.3009038636780925,0.4,0.4,c
53,1.6947152548198867e+31,16444336723.272003,1.5522962358228627,6127249.168450641,1288923430821060.8,5.372222940963058e+30,0.006727809742900309,1.304280106521098,0.4,0.4,c
54,1.712878577347301e+31,16561722519.755156,1.5566787848278838,6109628.196168637,1288804716306625.8,5.434178419937012e+30,0.006641451078204238,1.3076679589148654,0.4,0.4,c
55,1.7312365675537088e+31,16679932986.775906,1.561078377536848,6092031.691823714,1288684729454545.8,5.495166345690452e+30,0.006555957721603409,1.311067198451926,0.4,0.4,c
